x	VE	analog 5.24
x	HN	calvarycomics.com
W	Rr	2103	0.449	2010	09	26
W	Rr	2240	0.478	2010	09	19
W	Rr	3345	0.714	2010	09	12
W	Rr	2557	0.546	2010	09	05
W	Rr	1853	0.395	2010	08	29
W	Rr	1744	0.372	2010	08	22
W	Rr	1419	0.303	2010	08	15
W	Rr	1150	0.245	2010	08	08
W	*BT	R	5824	2015	08	16
D	Rr	18	0.004	2016	04	03
D	Rr	349	0.074	2016	04	02
D	Rr	142	0.030	2016	04	01
D	Rr	301	0.064	2016	03	31
D	Rr	585	0.125	2016	03	30
D	Rr	267	0.057	2016	03	29
D	Rr	247	0.053	2016	03	28
D	Rr	123	0.026	2016	03	27
D	Rr	155	0.033	2016	03	26
D	Rr	255	0.054	2016	03	25
D	Rr	167	0.036	2016	03	24
D	Rr	85	0.018	2016	03	23
D	Rr	274	0.058	2016	03	22
D	Rr	131	0.028	2016	03	21
D	Rr	330	0.070	2016	03	20
D	Rr	266	0.057	2016	03	19
D	Rr	220	0.047	2016	03	18
D	Rr	124	0.026	2016	03	17
D	Rr	246	0.052	2016	03	16
D	Rr	186	0.040	2016	03	15
D	Rr	208	0.044	2016	03	14
D	Rr	294	0.063	2016	03	13
D	Rr	0	0.000	2016	03	12
D	Rr	0	0.000	2016	03	11
D	Rr	0	0.000	2016	03	10
D	Rr	0	0.000	2016	03	09
D	Rr	0	0.000	2016	03	08
D	Rr	0	0.000	2016	03	07
D	Rr	86	0.018	2016	03	06
D	Rr	115	0.025	2016	03	05
D	Rr	265	0.057	2016	03	04
D	Rr	274	0.058	2016	03	03
D	Rr	180	0.038	2016	03	02
D	Rr	263	0.056	2016	03	01
D	Rr	258	0.055	2016	02	29
D	Rr	305	0.065	2016	02	28
D	Rr	222	0.047	2016	02	27
D	Rr	420	0.090	2016	02	26
D	Rr	349	0.074	2016	02	25
D	Rr	338	0.072	2016	02	24
D	Rr	273	0.058	2016	02	23
D	Rr	190	0.041	2016	02	22
D	*BT	R	1592	2012	11	27
d	Rr	61818	13.191	Sun
d	Rr	70759	15.099	Mon
d	Rr	69074	14.739	Tue
d	Rr	66225	14.131	Wed
d	Rr	66885	14.272	Thu
d	Rr	68860	14.693	Fri
d	Rr	65024	13.875	Sat
H	Rr	6	0.001	2016	04	03	04
H	Rr	1	0.000	2016	04	03	03
H	Rr	1	0.000	2016	04	03	02
H	Rr	5	0.001	2016	04	03	01
H	Rr	5	0.001	2016	04	03	00
H	Rr	5	0.001	2016	04	02	23
H	Rr	8	0.002	2016	04	02	22
H	Rr	3	0.001	2016	04	02	21
H	Rr	4	0.001	2016	04	02	20
H	Rr	105	0.022	2016	04	02	19
H	Rr	3	0.001	2016	04	02	18
H	Rr	103	0.022	2016	04	02	17
H	Rr	4	0.001	2016	04	02	16
H	Rr	0	0.000	2016	04	02	15
H	Rr	5	0.001	2016	04	02	14
H	Rr	3	0.001	2016	04	02	13
H	Rr	1	0.000	2016	04	02	12
H	Rr	1	0.000	2016	04	02	11
H	Rr	14	0.003	2016	04	02	10
H	Rr	4	0.001	2016	04	02	09
H	Rr	3	0.001	2016	04	02	08
H	Rr	4	0.001	2016	04	02	07
H	Rr	6	0.001	2016	04	02	06
H	Rr	5	0.001	2016	04	02	05
H	Rr	1	0.000	2016	04	02	04
H	Rr	8	0.002	2016	04	02	03
H	Rr	50	0.011	2016	04	02	02
H	Rr	8	0.002	2016	04	02	01
H	Rr	1	0.000	2016	04	02	00
H	Rr	3	0.001	2016	04	01	23
H	Rr	4	0.001	2016	04	01	22
H	Rr	0	0.000	2016	04	01	21
H	Rr	3	0.001	2016	04	01	20
H	Rr	21	0.004	2016	04	01	19
H	Rr	2	0.000	2016	04	01	18
H	Rr	0	0.000	2016	04	01	17
H	Rr	3	0.001	2016	04	01	16
H	Rr	1	0.000	2016	04	01	15
H	Rr	10	0.002	2016	04	01	14
H	Rr	27	0.006	2016	04	01	13
H	Rr	1	0.000	2016	04	01	12
H	Rr	1	0.000	2016	04	01	11
H	Rr	2	0.000	2016	04	01	10
H	Rr	1	0.000	2016	04	01	09
H	Rr	3	0.001	2016	04	01	08
H	Rr	4	0.001	2016	04	01	07
H	Rr	2	0.000	2016	04	01	06
H	Rr	3	0.001	2016	04	01	05
H	Rr	9	0.002	2016	04	01	04
H	Rr	8	0.002	2016	04	01	03
H	Rr	22	0.005	2016	04	01	02
H	Rr	8	0.002	2016	04	01	01
H	Rr	4	0.001	2016	04	01	00
H	Rr	4	0.001	2016	03	31	23
H	Rr	1	0.000	2016	03	31	22
H	Rr	0	0.000	2016	03	31	21
H	Rr	2	0.000	2016	03	31	20
H	Rr	5	0.001	2016	03	31	19
H	Rr	38	0.008	2016	03	31	18
H	Rr	0	0.000	2016	03	31	17
H	Rr	11	0.002	2016	03	31	16
H	Rr	43	0.009	2016	03	31	15
H	Rr	3	0.001	2016	03	31	14
H	Rr	94	0.020	2016	03	31	13
H	Rr	2	0.000	2016	03	31	12
H	Rr	3	0.001	2016	03	31	11
H	Rr	10	0.002	2016	03	31	10
H	Rr	1	0.000	2016	03	31	09
H	Rr	4	0.001	2016	03	31	08
H	Rr	4	0.001	2016	03	31	07
H	Rr	2	0.000	2016	03	31	06
H	Rr	21	0.004	2016	03	31	05
H	*BT	R	616	2012	07	23	16
h	Rr	18990	4.052	00
h	Rr	20043	4.277	01
h	Rr	20504	4.375	02
h	Rr	18859	4.024	03
h	Rr	19322	4.123	04
h	Rr	16517	3.524	05
h	Rr	16415	3.503	06
h	Rr	16402	3.500	07
h	Rr	17912	3.822	08
h	Rr	17594	3.754	09
h	Rr	17658	3.768	10
h	Rr	18138	3.870	11
h	Rr	18713	3.993	12
h	Rr	19396	4.139	13
h	Rr	20948	4.470	14
h	Rr	22003	4.695	15
h	Rr	22394	4.778	16
h	Rr	20815	4.442	17
h	Rr	23044	4.917	18
h	Rr	21826	4.657	19
h	Rr	21473	4.582	20
h	Rr	19734	4.211	21
h	Rr	20452	4.364	22
h	Rr	19493	4.159	23
4	Rr	2	0.000	2016	04	03	04	30
4	Rr	1	0.000	2016	04	03	04	15
4	Rr	3	0.001	2016	04	03	04	00
4	Rr	0	0.000	2016	04	03	03	45
4	Rr	1	0.000	2016	04	03	03	30
4	Rr	0	0.000	2016	04	03	03	15
4	Rr	0	0.000	2016	04	03	03	00
4	Rr	1	0.000	2016	04	03	02	45
4	Rr	0	0.000	2016	04	03	02	30
4	Rr	0	0.000	2016	04	03	02	15
4	Rr	0	0.000	2016	04	03	02	00
4	Rr	0	0.000	2016	04	03	01	45
4	Rr	0	0.000	2016	04	03	01	30
4	Rr	0	0.000	2016	04	03	01	15
4	Rr	5	0.001	2016	04	03	01	00
4	Rr	2	0.000	2016	04	03	00	45
4	Rr	0	0.000	2016	04	03	00	30
4	Rr	1	0.000	2016	04	03	00	15
4	Rr	2	0.000	2016	04	03	00	00
4	Rr	2	0.000	2016	04	02	23	45
4	Rr	0	0.000	2016	04	02	23	30
4	Rr	0	0.000	2016	04	02	23	15
4	Rr	3	0.001	2016	04	02	23	00
4	Rr	1	0.000	2016	04	02	22	45
4	Rr	2	0.000	2016	04	02	22	30
4	Rr	1	0.000	2016	04	02	22	15
4	Rr	4	0.001	2016	04	02	22	00
